R1_A;R1_O;R1_P;R1_POC;R2_A;R2_O;R2_P;R2_POC;R3_A;R3_O;R3_P;R3_POC;R4_A;R4_O;R4_P;R4_POC;R5_A;R5_O;R5_P;R5_POC;R6_A;R6_O;R6_P;R6_POC;R7_A;R7_O;R7_P;R7_POC;R8_A;R8_O;R8_P;R8_POC;Q1;Q2;Q3;Q4;Q5;Q6
"(22.96,""error"")";"(None,""ok"")";"(33.2,""ok"")";"(14.2,""ok"")";"(41.50,""error"")";"(24.25,""error"")";"(118.1,""ok"")";"(21.1,""ok"")";"(10.35,""error"")";"(None,""ok"")";"(None,""ok"")";"(33.77,""ok"")";"(16.66,""ok"")";"(28.60,""ok"")";"(None,""ok"")";"(25.28,""ok"")";"(None,""ok"")";"(None,""ok"")";"(29.49,""ok"")";"(11.11,""ok"")";"(None,""ok"")";"(None,""ok"")";"(None,""ok"")";"(14.26,""ok"")";"(None,""ok"")";"(None,""ok"")";"(12.61,""ok"")";"(11.21,""ok"")";"(None,""ok"")";"(None, ""ok"")";"(None,""ok"")";"(19.76,""ok"")";3;3;No;Yes, with time;5;PDB
"(24.8,""error"")";"(44.78, ""error"")";"(40.61, ""ok"")";"(19.44,""ok"")";"(19.96,""error"")";"(32.79,""error"")";"(55.92,""ok"")";"(22.29,""ok"")";"(23.29,""ok"")";"(None,""ok"")";"(122.56,""error"")";"(36.15, ""ok"")";"(23.45,""ok"")";"(31.56,""error"")";"(None,""ok"")";"(21.48,""ok"")";"(None,""ok"")";"(6.52,""error"")";"(35.58,""ok"")";"(18.23,""ok"")";"(3.0,""error"")";"(19.65,""error"")";"(69.72,""error"")";"(23.84,""ok"")";"(2.89,""error"")";"(2.92,""error"")";"(12.20,""ok"")";"(4.89,""ok"")";"(None,""ok"")";"(4.63,""error"")";"(26.03,""error"")";"(45.30,""ok"")";2;5;No;No;5;PDB
"(32.14,""error"")";"(None,""ok"")";"(None,""error"")";"(50.7,""ok"")";"(78.55,""error"")";"(29.52,""error"")";"(5.19,""error"")";"(24.64,""ok"")";"(22.94,""ok"")";"(None, ""ok"")";"(None,""ok"")";"(34.77, ""ok"")";"(17.20,""ok"")";"(63.29, ""error"")";"(None,""ok"")";"(26.12,""ok"")";"(None,""ok"")";"(None,""ok"")";"(52.97,""error"")";"(8.21, ""ok"")";"(None,""ok"")";"(None,""ok"")";"(37.61,""error"")";"(20.02,""ok"")";"(42.55, ""error"")";"(15.0, ""error"")";"(9.21,""error"")";"(5.93,""ok"")";"(52.84, ""error"")";"(None,""ok"")";"(None,""ok"")";"(23.04,""ok"")";1;0;No;No;4;AERIS
"(41.17,""error"")";"(None,""ok"")";"(41.28,""error"")";"(33.92,""ok"")";"(10.75,""error"")";"(7.41,""error"")";"(21.03,""error"")";"(26.81,""ok"")";"(30.39,""ok"")";"(None, ""ok"")";"(None,""ok"")";"(43.79,""ok"")";"(30.40,""ok"")";"(None,""error"")";"(None,""ok"")";"(24.66,""ok"")";"(46.7,""error"")";"(None,""ok"")";"(114.45,""error"")";"(29.27,""ok"")";"(None, ""ok"")";"(3.09, ""error"")";"(53.79,""error"")";"(18.37,""ok"")";"(2.55,""error"")";"(8.92, ""error"")";"(15.02,""error"")";"(7.8,""ok"")";"(None, ""ok"")";"(26.01, ""error"")";"(None,""ok"")";"(35.74,""ok"")";2;5;No;No;4;AERIS
"(32.06,""error"")";"(None,""ok"")";"(None,""error"")";"(37.32, ""error"")";"(9.52,""error"")";"(5.99,""error"")";"(5.73,""ok"")";"(19.75,""ok"")";"(22.15,""ok"")";"(None,""ok"")";"(None,""ok"")";"(39.93,""error"")";"(26.52,""ok"")";"(9.20,""ok"")";"(None,""ok"")";"(22.72,""ok"")";"(40.98,""error"")";"(None,""ok"")";"(None,""error"")";"(17.6,""ok"")";"(None,""ok"")";"(None,""ok"")";"(None,""ok"")";"(20.36,""ok"")";"(55.21,""error"")";"(None,""ok"")";"(2.61,""error"")";"(7.16,""ok"")";"(95,3,""error"")";"(None,""ok"")";"(None,""ok"")";"(27.65,""ok"")";3;4;No;Yes, with other platforms;5;AERIS
"(18.38,""error"")";"(17.88,""error"")";"(80.59,""error"")";"(14.38, ""error"")";"(21.09,""error"")";"(17.04,""error"")";"(60.26,""error"")";"(11.03,""error"")";"(27.46,""ok"")";"(19,57,""error"")";"(51,67,""error"")";"(16.52,""error"")";"(32.03,""ok"")";"(None,""error"")";"(None,""ok"")";"(19.56,""ok"")";"(12.91,""error"")";"(8.48,""error"")";"(13.09,""error"")";"(11.85,""ok"")";"(20.97,""error"")";"(23.24,""error"")";"(None,""ok"")";"(24.02,""ok"")";"(9.28,""error"")";"(9.76,""error"")";"(7.0,""error"")";"(14.53,""ok"")";"(37.73,""error"")";"(None,""ok"")";"(22.62,""error"")";"(53.56,""ok"")";2;5;No;Maybe, with time;5;AERIS
"(38.44,""error"")";"(None,""ok"")";"(None,""error"")";"(26.12,""ok"")";"(None,""ok"")";"(5.94,""error"")";"(6.24,""error"")";"(10.74,""ok"")";"(26.52,""ok"")";"(None,""ok"")";"(None,""ok"")";"(55.02,""ok"")";"(20.09,""ok"")";"(None,""error"")";"(None,""ok"")";"(17.55,""ok"")";"(32.73,""error"")";"(None,""ok"")";"(None,""error"")";"(17.55,""ok"")";"(35.65,""error"")";"(32.7,""error"")";"(45.17,""error"")";"(8.52,""ok"")";"(3.23,""error"")";"(7.01,""error"")";"(39.61,""ok"")";"(5.0,""ok"")";"(None,""ok"")";"(None,""ok"")";"(None,""ok"")";"(33.49,""ok"")";1;0;No;No;5;AERIS
"(48.8,""error"")";"(None,""ok"")";"(None,""error"")";"(52.57,""ok"")";"(48.18,""error"")";"(60.93,""error"")";"(250.21,""ok"")";"(28.64,""ok"")";"(35.17,""ok"")";"(None,""ok"")";"(155.39,""error"")";"(34.85,""ok"")";"(24.69,""ok"")";"(None,""error"")";"(None,""ok"")";"(21.22,""ok"")";"(42.04,""error"")";"(None,""ok"")";"(63.41,""ok"")";"(15.98,""ok"")";"(None,""ok"")";"(20.40,""error"")";"(None,""ok"")";"(18.97,""ok"")";"(4.14,""error"")";"(4.0,""error"")";"(18.26,""ok"")";"(7.10,""ok"")";"(None,""ok"")";"(None,""ok"")";"(None,""ok"")";"(25.19,""ok"")";1;1;No;Yes, with time;5;PDB
"(37.5,""error"")";"(None,""ok"")";"(118.28, ""ok"")";"(22.4,""ok"")";"(None,""ok"")";"(None,""ok"")";"(74.07,""ok"")";"(11.08,""ok"")";"(56.8,""ok"")";"(None,""ok"")";"(None,""ok"")";"(40.39,""ok"")";"(24.40,""ok"")";"(4.99,""ok"")";"(None,""ok"")";"(40.39,""ok"")";"(None,""ok"")";"(None,""ok"")";"(17.3,""ok"")";"(15.0,""ok"")";"(None,""ok"")";"(None,""ok"")";"(None,""ok"")";"(21.99,""ok"")";"(12.84,""error"")";"(17.89,""error"")";"(43.22,""ok"")";"(5.96,""ok"")";"(None,""ok"")";"(None,""ok"")";"(None,""ok"")";"(20.31,""ok"")";2;5;No;Maybe yes;4;PDB
(53.79,"error");(None,"ok");(100.62, "error");(11.72,"ok");(None,"ok");(None,"ok");(226.50,"ok");(30.72,"ok");(19.43,"ok");(None,"ok");(101.33,"error");(66.95,"ok");(19.71,"ok");(None,"error");(None,"ok");(26.27,"ok");(None,"ok");(None,"ok");(34.22,"ok");(10.78,"ok");(None,"ok");(None,"ok");(22.66,"error");(23.49,"ok");(2.78,"error");(3.56,"error");(27.55,"error");(10.75,"ok");(None,"ok");(None,"ok");(13.29,"error");(21.52,"ok");2;3;No;Oui avec du temps;5;AERIS
(19.70,"error");(None,"ok");(101.15, "error");(9.82,"error");(9.92,"error");(11.64,"error");(42.74,"ok");(11.72,"ok");(39.16,"ok");(None,"ok");(None,"ok");(28.68,"error");(23.11,"ok");(29.48,"ok");(None,"ok");(22.43,"ok");(None,"ok");(None,"ok");(59.30,"ok");(21.47,"ok");(11.05,"error");(9.7,"error");(31.40,"error");(14.03,"ok");(6.09,"error");(6.16,"error");(11.46,"ok");(6.0,"ok");(None,"ok");(39.53,"error");(None,"ok");(31.1,"ok");1;0;No;Maybe not;4;PDB
